Code postal,Commune,Type local,Prix m2
01480,JASSANS-RIOTTIER,Appartement,2661.4939637826965
01480,JASSANS-RIOTTIER,Maison,2870.7504424778763
01480,MESSIMY SUR SAONE,Appartement,1605.2631578947369
01480,MESSIMY SUR SAONE,Maison,2125.4741674447555
01480,SAVIGNEUX,Appartement,1451.6129032258063
01480,SAVIGNEUX,Maison,2164.384306987399
01480,VILLENEUVE,Appartement,1363.6363636363635
01480,VILLENEUVE,Maison,2728.0
01500,AMBERIEU-EN-BUGEY,Appartement,2130.676369863014
01500,AMBERIEU-EN-BUGEY,Maison,1978.130424001984
01500,AMBRONAY,Appartement,1671.641791044776
01500,AMBRONAY,Maison,1706.8994320080187
01500,AMBUTRIX,Maison,1761.5144418423108
01500,BETTANT,Maison,1782.051282051282
01500,CHATEAU-GAILLARD,Maison,2326.806434599156
01500,DOUVRES,Maison,2124.0845588235293
01500,SAINT-DENIS-EN-BUGEY,Appartement,1713.4302325581393
01500,SAINT-DENIS-EN-BUGEY,Maison,1907.3825503355704
01500,SAINT-MAURICE-DE-REMENS,Maison,2132.8180555555555
01510,ARTEMARE,Maison,1763.4099616858239
01510,ARVIERE-EN-VALROMEY,Maison,1505.3977272727273
01510,CHAZEY-BONS,Maison,1507.3529411764705
01510,LA BURBANCHE,Maison,1720.238095238095
01510,ORDONNAZ,Maison,1929.292929292929
01510,SAINT-MARTIN-DE-BAVEL,Maison,1341.132075471698
01510,TALISSIEU,Maison,2010.7042253521126
01510,VIRIEU-LE-GRAND,Appartement,1196.428571428571
01510,VIRIEU-LE-GRAND,Maison,1360.8316532258063
01540,PERREX,Maison,1974.712643678161
01540,SAINT-JULIEN-SUR-VEYLE,Maison,1712.015503875969
01540,VONNAS,Appartement,1875.8024691358023
01540,VONNAS,Maison,2074.1878841088674
01550,COLLONGES,Appartement,3121.022179363549
01550,COLLONGES,Maison,3777.777777777778
01550,FARGES,Appartement,3795.4545454545455
01550,FARGES,Maison,3813.793103448276
01550,POUGNY,Appartement,9610.38961038961
01550,POUGNY,Maison,4237.244897959184
01560,CORMOZ,Maison,1217.125382262997
01560,COURTES,Maison,1370.1923076923076
01560,MANTENAY-MONTLIN,Maison,1403.508771929825
01560,SAINT-JEAN-SUR-REYSSOUZE,Maison,2220.625
01560,SAINT-JULIEN-SUR-REYSSOUZE,Maison,1669.9710233338417
01560,SAINT-NIZIER-LE-BOUCHOUX,Maison,3081.660231660232
01560,SAINT-TRIVIER-DE-COURTES,Maison,1397.2476600802258
01560,SERVIGNAT,Maison,1541.0958904109589
01560,VERNOUX,Maison,1155.2555555555557
01560,VESCOURS,Maison,1386.0887096774195
01570,FEILLENS,Appartement,3030.8823529411766
01570,FEILLENS,Maison,1763.0223880597014
01570,MANZIAT,Maison,1509.5842781557067
01580,IZERNORE,Maison,1541.6666666666667
01580,MATAFELON-GRANGES,Appartement,1763.157894736842
01580,MATAFELON-GRANGES,Maison,1795.940170940171
01580,SAMOGNAT,Maison,2222.9518449030647
01580,SONTHONNAX-LA-MONTAGNE,Maison,1960.7843137254904
01590,CHANCIA,Maison,1880.597014925373
01590,DORTAN,Appartement,2580.8823529411766
01590,DORTAN,Maison,1718.8799762329172
01590,LAVANCIA EPERCY,Maison,1666.6666666666667
01600,MASSIEUX,Maison,3523.809523809524
01600,MISERIEUX,Maison,2987.7827715355807
01600,PARCIEUX,Maison,4159.340659340659
01600,REYRIEUX,Appartement,2437.760869565217
01600,REYRIEUX,Maison,2965.3205128205127
01600,SAINT-BERNARD,Appartement,2290.721649484536
01600,SAINT-BERNARD,Maison,3136.923076923077
01600,SAINT-DIDIER-DE-FORMANS,Maison,3050.8390344649542
01600,SAINTE-EUPHEMIE,Appartement,2511.6279069767443
01600,SAINTE-EUPHEMIE,Maison,2882.705882352941
01600,TOUSSIEUX,Maison,2206.720430107527
01600,TREVOUX,Appartement,2013.114754098361
01600,TREVOUX,Maison,3047.613333333333
01630,CHALLEX,Appartement,3934.2071611253195
01630,CHALLEX,Maison,4310.48951048951
01630,PERON,Appartement,3281.609195402299
01630,PERON,Maison,3898.6141620364388
01630,SERGY,Appartement,3695.5800060496067
01630,SERGY,Maison,4285.714285714285
01630,ST-GENIS-POUILLY,Appartement,3975.121951219512
01630,ST-GENIS-POUILLY,Maison,4572.649572649572
01630,ST-JEAN-DE-GONVILLE,Appartement,4698.419540229885
01630,ST-JEAN-DE-GONVILLE,Maison,3873.118279569893
01640,BOYEUX-SAINT-JEROME,Maison,1333.3833333333332
01640,JUJURIEUX,Appartement,1324.3243243243244
01640,JUJURIEUX,Maison,2049.9853854585313
01640,SAINT-JEAN-LE-VIEUX,Appartement,1875.0
01640,SAINT-JEAN-LE-VIEUX,Maison,2042.1794871794873
01660,CHAVEYRIAT,Maison,1777.7777777777778
01660,MEZERIAT,Maison,1850.1793666501733
01680,GROSLEE-SAINT-BENOIT,Maison,1764.7058823529412
01680,INNIMOND,Maison,1493.5064935064936
01680,LHUIS,Maison,2250.0
01680,MARCHAMP,Maison,3286.942458290773
01700,BEYNOST,Appartement,3173.913043478261
01700,BEYNOST,Maison,3798.9389731538845
01700,MIRIBEL,Appartement,2676.9503688092727
01700,MIRIBEL,Maison,3134.1463414634145
01700,NEYRON,Appartement,2294.787234042553
01700,NEYRON,Maison,2776.1759935117607
01700,SAINT-MAURICE-DE-BEYNOST,Appartement,2028.9855072463768
01700,SAINT-MAURICE-DE-BEYNOST,Maison,3423.6144290492125
01710,THOIRY,Appartement,3906.9767441860463
01710,THOIRY,Maison,4260.643821391485
01750,CROTTET,Appartement,1228.1690140845071
01750,REPLONGES,Maison,1718.6094452773614
01750,SAINT-LAURENT-SUR-SAONE,Appartement,1635.4166666666667
01750,SAINT-LAURENT-SUR-SAONE,Maison,1771.428571428571
01800,BOURG-SAINT-CHRISTOPHE,Maison,2811.5865384615386
01800,CHARNOZ-SUR-AIN,Maison,2773.684210526316
01800,FARAMANS,Maison,2865.28067361668
01800,LE MONTELLIER,Maison,2337.6658874303184
01800,MEXIMIEUX,Appartement,2000.0
01800,MEXIMIEUX,Maison,2091.9230769230767
01800,PEROUGES,Appartement,2455.6962025316457
01800,PEROUGES,Maison,2701.270685579196
01800,RIGNIEUX-LE-FRANC,Maison,2690.909090909091
01800,SAINT-ELOI,Maison,2377.777777777778
01800,SAINT-JEAN-DE-NIOST,Appartement,2257.1363636363635
01800,SAINT-JEAN-DE-NIOST,Maison,2014.367037137436
01800,SAINT-MAURICE-DE-GOURDANS,Maison,2723.684210526316
01800,VILLIEU-LOYES-MOLLON,Appartement,2595.070422535211
